country_name,country_code,imports_usd,exports_usd,population_total,household_consumption_usd,government_expidenture_usd,gross_capital_formation_usd,gdp_usd
Moldova,MDA,12397142177.8302,6462088523.64641,2360527.0,17607431398.0599,3757209723.3816,4922208825.30727,20351796292.56498
Mongolia,MNG,15890791058.587,17268519883.6881,3568978.0,13061148390.175,3708707101.7648,7969307288.6967,26116891605.7376
Montenegro,MNE,6066976621.67614,3698908466.47919,623129.0,7506944454.35914,1607093859.28383,2486831306.34654,9232801464.79256
Morocco,MAR,93252409526.967,76541039367.7208,38430770.0,108089780926.815,32870891736.094,58124948108.6168,182374250612.2796
Mozambique,MOZ,12447253484.1041,9243792672.4646,35631653.0,15842458917.4961,4289091270.76301,5404846079.26977,22332935455.889378
Namibia,NAM,9636901881.39987,6737407578.92088,3092816.0,11803529489.7632,3359987863.93927,2816319151.70607,15080342202.929548
Nepal,NPL,15341170693.8035,4015673776.7883,29618118.0,38541339151.3239,3814307985.41918,13375714195.0693,44405864414.79718
Netherlands,NLD,925615517034.116,1075134885755.68,18087633.0,574298109745.882,344796274603.137,264153898029.804,1332767651100.387
Nicaragua,NIC,12198469835.601,9249209961.6921,7007502.0,16931412223.5783,2527051932.73319,5727962833.41934,22237167115.82193
Niger,NER,3927452302.33885,3411837458.42472,27917831.0,14758356576.2955,2646311639.62569,4757140007.55361,21646193379.56067
North Macedonia,MKD,14019083806.0384,11393731930.4666,1820909.0,12536610430.0091,3130516376.94419,6059424702.65325,19101199634.034737
Norway,NOR,178757867735.472,240819559118.237,5610870.0,225704657314.63,119785106212.425,123204168336.674,530755623246.4941
Pakistan,PAK,70090772303.0925,40670467311.9112,255219554.0,340587347229.426,37965264079.2476,58174908158.7282,407307214476.2206
Paraguay,PRY,19366371816.8932,18320665709.9656,7013078.0,32511252430.8311,5351870146.30256,12460811084.1145,49278227554.32056
Peru,PER,73151196614.3585,100355362281.137,34576665.0,195764640051.314,43778580928.1807,68107272535.6203,334854659181.89343
Philippines,PHL,196019381535.854,129323001566.143,116786962.0,372178564180.864,73758459028.1613,107845480481.104,487086123720.41846
Poland,POL,487505567677.639,517233997757.263,36435861.0,599853478549.412,220686558893.593,185223316674.812,1035491784197.4412
Portugal,PRT,148156593238.275,151336322847.151,10804871.0,211444518162.194,59097558736.7784,72918018633.9728,346639825141.8212
Puerto Rico (US),PRI,56372200000.0,60652000000.0,3184835.0,101829300000.0,9960500000.0,18414900000.0,134484500000.0
Romania,ROU,174602572419.192,152113432501.957,19020271.0,265964053237.893,74172709987.6971,111030354546.471,428677977854.82605
Russian Federation,RUS,397181687664.146,466237273304.333,143513328.0,1313053103956.95,489229901174.974,663165293731.598,2534503884503.709
Rwanda,RWA,5749666891.7462,3528969299.26467,14569341.0,10540588078.0033,2465124700.17235,5587117807.12313,16372132992.81725
Samoa,WSM,553949848.283117,355715052.484773,219306.0,937231459.679523,239293846.466682,386846688.706271,1365137199.0541315
Sao Tome and Principe,STP,326819594.28308,130155394.190871,240254.0,991145643.153527,101026417.704011,85785753.8035961,981293614.568925
Saudi Arabia,SAU,359757600000.0,379825066666.667,36973555.0,589870666666.667,263170400000.0,403833600000.0,1276942133333.334
Senegal,SEN,14277431782.6964,12022634773.9314,18931966.0,23620022151.2404,5694948118.51778,9946362977.37995,37006536238.37314
Serbia,SRB,58583048490.316,54287734484.3107,6549143.0,62414104682.4537,18464668565.8338,23369867295.5334,99953326537.81558
Seychelles,SYC,2212019783.97138,1900518394.81236,122730.0,1653395317.60511,598419498.859662,446641516.568315,2386954943.874068
Sierra Leone,SLE,2105266492.69829,1559342046.4639,8819794.0,5834704607.2195,443896179.500052,1731481550.70921,7464157891.19437
Singapore,SGP,860239550269.609,1073990898313.51,6111175.0,187736280546.101,61907453439.9021,135788672606.983,599183754636.8871
Slovak Republic,SVK,131733585558.917,131496787422.657,5413813.0,90653610205.634,33077800889.78,31035453547.7415,154530066506.8955
Slovenia,SVN,58362937489.5356,62634926878.6125,2130986.0,40919921151.7725,16910935528.0082,17545358910.5043,79648204979.36192
"Somalia, Fed. Rep.",SOM,12841200000.5979,3800899999.86713,19654739.0,17327899999.8671,1054100000.13288,3653500000.0,12995199999.26921
South Africa,ZAF,126023231104.646,134179428667.706,64747319.0,281232278662.974,80696105267.0592,59256087879.594,429340669372.68726
Spain,ESP,625571094598.823,698476476631.372,49355143.0,1059299302070.19,366080636976.47,408167988906.666,1906453309985.8748
Sri Lanka,LKA,24857449190.3417,20641294805.6633,21756000.0,73442039793.2257,7337670052.70793,32261676209.941,108825231671.19624
Sudan,SDN,769412868.639492,663619143.86802,51662147.0,49057445182.5428,10769255784.6792,441769336.080648,60162676578.53117
Sweden,SWE,341902516919.053,356098645397.388,10596620.0,307596631989.213,176833116821.713,170372786792.821,668998664082.082
Switzerland,CHE,721176290537.446,814503715316.446,9092436.0,516824574715.801,125666652967.492,307711245585.775,1043529898048.068
Tanzania,TZA,18016880758.522,17113455948.0633,70545865.0,45558770157.0407,8816277838.28395,36671873129.1085,90143496313.97444
Thailand,THA,388129158917.05,410531624594.48,71619863.0,337319874345.285,96090057269.7424,127349947506.005,583162344798.4624
Tunisia,TUN,31508376159.6476,26826069545.4849,12348573.0,45775211906.8277,11448975505.573,8758593072.14844,61300473870.38643
Turkiye,TUR,400679511057.207,396923725496.326,85878556.0,873800672532.763,221439614241.822,505808728072.778,1597293229286.482
Uganda,UGA,17826764688.3341,13289512670.7607,51384894.0,40422925137.2133,7232117796.63234,14037438975.8767,57155229892.14895
Ukraine,UKR,111072990302.021,54272867488.1444,38980376.0,143091383599.07,83426147362.2601,44515904636.9435,214233312784.39703
United Kingdom,GBR,1275239250327.84,1224670037744.72,69487000.0,2419090190318.24,849560401334.911,788045454642.446,4006126833712.4775
Uzbekistan,UZB,51999343254.4106,32401308149.1144,37053428.0,94314485220.9637,23390318464.4909,48931312549.2464,147038081129.4048
Vietnam,VNM,473997023086.435,505661231330.217,101598527.0,273878118593.295,48259294013.6496,158501700269.658,512303321120.3846
Palestine,PSE,9190000000.0,3644200000.0,5413596.0,15554900000.0,2926900000.0,4392900000.0,17328900000.0
